county_fips,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
71,66374,66533,66165,66866,65363,66036,65995,65679,65859,66327,65444,66520,66467,66721,66303,65786,66104,66815,65990,65742,65018,65428,66462,66072,65830,66172,66243,66284,66744,65970,65939,65966,65277,66498,66043,66038,67073,66712,66268,66713,66906,65642,65999,65180,66174,66198,65607,66104,66155,65605
47,3962,4099,3971,3653,4101,4047,4048,4153,3888,4043,4006,3935,4050,3857,3990,3999,4079,3938,3792,4053,3755,4155,4114,3991,3871,3928,3962,3927,4003,4012,3997,3901,4105,4093,3818,3919,3833,3852,3831,4038,3832,4083,3928,4142,3956,3917,3806,4012,3828,3909
95,32434,32939,33001,32771,32592,32709,32768,32545,32664,32945,32929,32914,32703,32313,32453,33047,32504,33146,33218,33379,33015,33177,32985,32828,32776,32475,32199,32251,33009,32941,32905,33239,32822,32099,32561,32688,32592,32549,32930,32778,33410,32433,33014,32349,32792,32548,32828,32995,32448,32890
41,20799,20824,20821,21168,21071,20810,21192,21096,21168,20797,20750,21207,21224,21179,21504,21084,20752,21994,21172,20943,21321,21174,21245,21158,20884,20518,21533,20907,21244,21265,21051,21090,21661,20902,20563,21315,20892,21280,20868,21178,21102,21171,21012,21041,21325,21046,21137,20985,21077,21143
103,6471,6488,6361,6521,6343,6455,6745,6389,6669,6342,6443,6511,6642,6638,6369,6438,6579,6555,6469,6522,6509,6496,6324,6831,6588,6448,6726,6398,6482,6586,6424,6601,6468,6840,6379,6532,6475,6328,6628,6413,6504,6579,6381,6656,6280,6670,6427,6534,6546,6589
119,5455,5386,5390,5717,5663,5443,5734,5487,5776,5573,5308,5587,5561,5653,5428,5604,5464,5570,5673,5527,5671,5703,5736,5409,5521,5764,5354,5473,5542,5590,5518,5480,5655,5464,5740,5425,5646,5427,5476,5469,5371,5632,5375,5463,5554,5476,5400,5613,5516,5555
87,8869,9144,9320,9009,8970,8871,9077,9075,9031,9052,9199,8897,8627,8716,9269,9073,9325,9045,9037,8918,8842,8850,9149,8888,8790,9364,8939,9039,9292,9074,8995,8975,9189,9348,9038,9207,8915,9213,9074,8968,8988,9270,8951,8800,9052,9151,9153,9010,9061,9116
45,60017,58968,58300,59472,58412,58722,58421,59346,59445,58960,58782,58798,59604,59403,58936,59296,59708,59853,59237,59161,59139,58988,58930,58909,58428,58837,59538,59468,58877,60226,58610,58558,58772,59417,58297,59065,59864,59003,59828,58855,59367,59479,58573,58763,59094,59481,58541,59149,59564,59496
101,274996,276001,276199,276757,277153,276491,275834,277206,275660,277308,276336,276639,277265,274463,276911,276120,276957,275172,276985,275840,275488,275843,277080,275609,276757,275869,276482,275174,276014,276735,275517,276564,275473,276490,276093,277576,276710,277011,274875,277189,275805,277680,275832,275892,276600,276886,274675,277527,276006,276511
91,58320,57572,57646,57868,57949,58709,57432,57173,58380,58478,57559,58240,58398,58391,58225,57708,58582,57444,57617,57456,58948,58281,58162,57668,57921,58432,58505,57386,57594,58349,57896,57818,57419,58490,57411,58337,57663,57514,58415,57828,58464,58166,57712,58506,57570,58179,58731,57882,57455,57968
65,7580,7536,7511,7198,7471,7238,7161,7310,7425,7331,7203,7314,7574,7385,7492,7436,7329,7567,7111,7442,7361,7293,7518,7515,7159,7308,7264,7247,7525,7440,7364,7352,7591,7422,7589,7387,7247,7392,7307,7269,7492,7534,7154,7331,7224,7278,7386,7428,7534,7435
